Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,,,,,,,,,,,,,Yes,All provinces and territories of Canada,"TSX, AMEX",CID,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"3221 North Service Rd.
Burlington, Ontario
L7N 3G2",Ontario,No,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland, North West Territories, Yukon, Nunavut",N/A,,KPMG LLP,not applicable,not applicable,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Montreal Trust,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,CWNOF,MNP LLP,,Securities Transfer Corporation,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$500,000,001 to $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$500,000,001 to $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Computershare Trust Company of Camada,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Equity Transfer & Trust Company,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,n/a,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,Olympia Trust Company,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TMX Equity Transfer Services,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"200, Chemin du Blainvillier
Blainville, Québec
J7C 4X6",No filing is or has previously been made under the MRRS Prospectus Policy,No,Quebec,N/A,,Petrie Raymond,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Sylvain Lacasse
2100, chemin Tour Du Lac
Lac-Nominingue, Québec
J0W 1R0",No filing is or has previously been made under the MRRS Prospectus Policy,No,Quebec,N/A,,"RoBert Béland, c.a.",,,"Under $5,000,000"
,,,,,,,,,,,,"600-12220 Stony Plain Road
Edmonton, Alberta
T5J 3V5",Quebec,No,Quebec,N/A,,Amyot Gélinas,,,"Under $5,000,000"
,,,,,,,,,,,Dec 31,"15675 Dufferin Street
King City, ON
L7B 1K5",Ontario,Yes,Ceased Reporting,TSX,,Ernst & Young LLP,,CIBC Mellon Trust Company,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,Manitoba,No,Ceased Reporting,TSX,,Deloitte & Touche,,Montreal Trust Company of Canada,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"Club du Tremblant Inc.
121 rue Cuttle
Mont-Tremblant, Québec
JOT 1Z0",Quebec,Yes,Ceased Reporting,N/A,,Bergeron & Senécal,,,"Under $5,000,000"
,,,,,,,,,,,,"2160 Vancouver Centre
650 West Georgia Street
Vancouver, BC
V6B 4N7",Ontario,Yes,Ceased Reporting,N/A,,Cinnamon Jang Willoughby & Company,River Run Apartments Corporation,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,British Columbia,No,"British Columbia, Alberta","TSX Venture, NEX",CEOH,Saturna Group Chartered Professional Accountants LLP,,Computershare Trust Company of Canada,"Under $5,000,000"
,,,,,,,,,,,,"Secrétariat
1010, rue Sherbrooke ouest
Bureau 1610
Montréal, Québec
H3A 2R7",Quebec,No,Ceased Reporting,N/A,,KPMG,,,"Over $1,000,000,000"
,,,,,,,,,,,Dec 31,"900 - 20 Adelaide Street East
Toronto, Ontario
M5C 2T6",Ontario,No,Non-Reporting Issuer,N/A,,N/A,CMCC Capital Fund IV (GP) Inc.,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Crowe Soberman,CMCC Capital Fund (GP) Inc.,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"900 - 20 Adelaide Street East
Toronto, Ontario
M5C 2T6",Ontario,No,Non-Reporting Issuer,N/A,,N/A,CMCC Capital Fund V (GP) Inc.,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,"20 Adelaide Street East, Suite 900
Toronto, Ontario
M5C 2T6",Ontario,No,Non-Reporting Issuer,N/A,,N/A,CMCC Richmond and John Investor Group GP Inc.,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"415 Legget Drive
P.O. Box 13330
Kanata, Ontario
K2K 2B2",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,"TSX, AMEX",,Price Waterhouse,,Montreal Trust,"$500,000,001 to $1,000,000,000"
,,,,,,,,,,,,"66 Prescot Street
London, United
EI 8HG",Ontario,Yes,"British Columbia, Saskatchewan, Manitoba, Ontario, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland, North West Territories, Yukon, Nunavut",N/A,,N/A,N/A,N/A,"Under $5,000,000"
,,,,,,,,,,,,"800 Pender Street
Suite 615
Vancouver, BC
V6C 2V6",British Columbia,No,"British Columbia, Alberta",TSX Venture,CMB,Dale Matheson Carr-Hilton Labonte CA,,Computershare Trust Company of Canada,"Under $5,000,000"
,,,,,,,,,,,,"MDS Capital Corp.
100 International Blvd.
Toronto, Ontario
M9W 6J6",Ontario,No,Ontario,N/A,,Ernst & Young LLP,,Talvest Fund Management,"Under $5,000,000"
,,,,,,,,,,,Jun 30,"41 Kingscross Drive
King City, Ontario
L7B 1E5",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Harris & Partners LLP Chartered Accountants,,,"Under $5,000,000"
,,,,,,,,,,,,"41 Kingscross Drive
King City, Ontario
L7B 1E5",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Harris & Partners LLP,,,"Under $5,000,000"
,,,,,,,,,,,Jun 30,"149 Concord Road
Thornhill, Ontario
L4J 7S2",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Harris & Partners LLP Chartered Accountants,,,"Under $5,000,000"
,,,,,,,,,,,,"NW 1/4 14-39-18-W2
PO Box 43
Naicam, Saskatchewan
S0K 2Z0",Saskatchewan,No,Saskatchewan,N/A,,Ernst & Young LLP,,CMI Terminal Ltd.,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Suite 1200, 833 -4th Avenue SW
Calgary, Alberta
T2P-3T5",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,,Computershare Trust Company of Canada,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"60 Courtneypark Dr. West, Unit #1
Mississauga, Ontario
L5W 0B3",Ontario,Yes,Ceased Reporting,TSX,,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"Over $1,000,000,000"
,,,,,,,,,,,,,,,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,Ontario,Yes,Ceased Reporting,TSX,,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"Over $1,000,000,000"
,,,,,,,,,,,,"ACCOUNTING
550 COCHRANE DRIVE
UNIONVILLE, ONTARIO
L3R 8E2",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,KPMG PEAT MARWICK THRONE,,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,DELOITTE,N/A,N/A,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"3019 5 Street SW
Calgary, Alberta
T2S 2C3",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,n/a,,,"Under $5,000,000"
,,,,,,,,,,,,"16TH FLOOR, 200 GRANVILLE STREET
VANCOUVER, BRITISH COLUMBIA
V6C 2R6",No filing is or has previously been made under the MRRS Prospectus Policy,No,All provinces and territories of Canada,N/A,,BDO DUNWOODY,,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"Legal & Compliance
40 King Street West, 55th Floor
Scotia Plaza
Toronto, Ontario
M5H 4A9",Ontario,No,Ceased Reporting,N/A,,Arthur Andersen,CMP Funds Management Inc.,Computeshare Investor Services,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds II Management Inc.,Computershare Investor Services,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds Management Inc.,Computershare Investor Services,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds IV Management Inc.,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Legal & Compliance
40 King Street West, 55th Floor
Scotia Plaza
Toronto, Ontario
M5H 4A9",Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds III Management Inc.,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Legal & Compliance
40 King Street West, 55th Floor
Scotia Plaza
Toronto, Ontario
M5H 4A9",Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds V Management Inc.,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds VII Management Inc.,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,Ontario,No,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,Dynamic CMP Funds VI Management Inc.,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Legal and Compliance
40 King Street West
55th Floor, Scotia Plaza
Toronto, Ontario
M5H 4A9",Ontario,No,Ceased Reporting,N/A,,"PricewaterhouseCoopers LLP, Chartered Accountants",Dynamic CMP Funds VII Management Inc.,Computershare Investor Services Inc.,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Legal and Compliance
29th Floor
1 Adelaide Street East
Toronto, Ontario
M5C 2V9",Ontario,No,Ceased Reporting,N/A,,"PricewaterhouseCoopers LLP, Chartered Accountants",CMP 2005 Corporation,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"Legal and Compliance
40 King Street West, 55th Floor, Scotia Plaza
Toronto, Ontario
M5H 4A9",Ontario,No,All provinces and territories of Canada,N/A,,"PricewaterhouseCoopers LLP, Chartered Accountants",CMP 2006 Corporation,Computershare investor Services Inc.,"$25,000,001 to $100,000,000"
