Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,,,,,,,,,,,"5807 Stayail Ct.
Cape Coral, Florida
33914",British Columbia,No,"British Columbia, Alberta",TSX Venture,CIA,Davidson & Company LLP,,Pacific Corporate Trust Company,"Under $5,000,000"
,,,,,,,,,,,Jan 31,"Suite 960 - 789 West Pender Street
Vancouver, British Columbia
V6C1H2",British Columbia,No,"British Columbia, Alberta, Ontario","TSX Venture, London-AIM",CUSN,Davidson & Company,,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Suite 1500
885 West Georgia Street
Vancouver, B.C.
V6C 3E8",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,PricewaterhouseCoopers,,Computershare Trust Company of Canada,"Under $5,000,000"
,,,,,,,,,,,,"2200 Yonge St.
Suite 905
Toronto, ON
M4S 2C6",Ontario,No,Ceased Reporting,N/A,,Ersnt & Young LLP,,CIBC Mellon Trust Company,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"155 University Avenue
Suite 1440
Toronto, Ontario
M5H 3B7",Ontario,Yes,Ceased Reporting,N/A,,PricewaterhouseCoopers LLP,,Equity Financial Trust Company,"Under $5,000,000"
,,,,,,,,,,,,"Level 1, 703 Murray Street
West Perth, Western Australia
6005",British Columbia,No,Ceased Reporting,N/A,,Stantons International Audit and Consulting Pty Ltd.,,Computershare Investor Services,"Under $5,000,000"
,,,,,,,,,,,,"#1100 - 1200 West 73rd Avenue
Vancouver, British Columbia
V6P 6G5",British Columbia,No,British Columbia,OTCBB,CRNSF,Chang Lee LLP,,Holladay StockTransfer,"Under $5,000,000"
,,,,,,,,,,,,"8780, boulevard Guillaume-Couture
Lévis, Québec
G6V 9G9",Quebec,No,"British Columbia, Alberta, Ontario, Quebec",TSX Venture,NCO,Ernst & Young LLP,,Societe de fiducie CST,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,British Columbia,Yes,Ceased Reporting,N/A,,PricewaterhouseCoopers,,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"264 rue Notre-Dame
Kedgwick, New Brunswick
E8B 1H9",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,KPMG LLP,.,.,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Suite 600
435 - 4th Avenue SW
Calgary, Alberta
T2P 3A8",Alberta,No,"British Columbia, Alberta, Saskatchewan, Manitoba, Quebec",N/A,,Ernst & Young,,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"1715 Pearl Street, Suite A
Boulder, Colorado
720-477-71",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,n/a,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,Jul 31,"Suite 130, 115 Quarry Park Road SE
Calgary, Alberta
T2C-5G9",Non-Reporting Issuer,Yes,Non-Reporting Issuer,N/A,,PricewaterhouseCoopers LLP,,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"750-580Hornby Street
Vancouver, BC
V6C 3B6",British Columbia,No,Ceased Reporting,N/A,,BDO Canada LLP,,Computershare Trust Company of Canada,"Under $5,000,000"
,,,,,,,,,,,,"10545 - 45 Avenue NW
250 Southridge, Suite 300
Edmonton, AB
T6H 4M9",British Columbia,No,"British Columbia, Alberta, Ontario",TSX Venture,CRTS,DeVisser Gray LLP,,Odyssey Trust Company,"Under $5,000,000"
,,,,,,,,,,,,"Corus Quay
25 Dockside Drive
Toronto, Ontario
M5A 0B5",Ontario,Yes,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland",TSX,CJRB,Ernst & Young LLP,,TSX Trust Company,"Over $1,000,000,000"
,,,,,,,,,,,Aug 31,"Suite 205, 707 - 7 Avenue SW
Calgary, AB
T2P 3H6",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Ernst & Young,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,"Suite 1750 - 700 West Pender Street
Vancouver, British Columbia
V6C 1G8",British Columbia,Yes,"British Columbia, Alberta, Ontario","TSX, United States - Other",KOR,Crowe Mackay LLP,,Computershare Investor Services Inc.,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,"#200, 15057 Stony Plain Rd
Edmonton, Alberta
T5P4W1",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,NA,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Feb 28,"1150 Birchmount Avenue
Toronto, Ontario
M1P 2B8",,No,Ontario,TSX,CGM,"James L. Wilson, C.A.",,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,Dec 31,"1500 - 885 West Georgia Street
Vancouver, British Columbia
V6C 3E8",British Columbia,No,Not Applicable,N/A,,"Morgan & Company, Chartered Accountants",,Valiant Trust Company,"Under $5,000,000"
,,,,,,,,,,,,"3854 Cadboro Bay Rd.
Victoria, British Columbia
V8N 4G4",British Columbia,No,"British Columbia, Alberta",TSX Venture,CSG,WDM Chartered Professional Accountants,,Alliance Trust Company,"Under $5,000,000"
,,,,,,,,,,,,"300 rue St-Paul
Suite 300
Québec, Québec
G1K 7R1",Quebec,No,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland",TSX,KOS,PricewaterhouseCoopers,,CIBC Mellon Trust Company,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,"Suite 350, 300 - 5th Avenue SW
Calgary, AB
T2P 3C4",Alberta,No,Ceased Reporting,N/A,,KPMG,,CIBC Mellon Trust Company,"Under $5,000,000"
,,,,,,,,,,,,"20903 Katie Marie Ct.
Cypres, Texas
77433",Alberta,No,Alberta,Over-the-counter markets,CSSI,"GBH CPAs, PC",N/A,Pacific Stock Transfer Co. Inc.,"Under $5,000,000"
,,,,,,,,,,,,"Suite 1901 - Tudor Manor
1321 Beach Ave
Vancouver, BC
V6E 1V6",British Columbia,Yes,"British Columbia, Alberta","TSX Venture, London-AIM",CTH,PricewaterhouseCoopers LLP,,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,Apr 30,"127 Main Street
Boston, MA
02129",Ontario,No,"British Columbia, Alberta, Ontario","TSX Venture, Over-the-counter markets",COT,"SDVC LLP, Chartered Accountants",,Computershare Investor Services Inc,"Under $5,000,000"
,,,,,,,,,,,,"1120
833 - 4th Avenue, S.W.
Calgary, Alberta
T2P 3T5",Alberta,No,Alberta,OTCBB,COUGF,Meyers Norris Penny,,StockTrans Inc.,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,N/A,2967-1823 Québec Inc.,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"Suite 300, One Bentall Centre
505 Burrard Street
Vancouver, BC
V7X 1M3",British Columbia,Yes,Ceased Reporting,"TSX, NASDAQ",,BDO Canada LLP,,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"495 Richmond Street
9th Floor
London, Ontario
N6A 5A9",Ontario,Yes,All provinces and territories of Canada,TSX,COU,Ernst + Young LLP,,CIBC Mellon Trust Company,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,"2 East Beaver Creek, Building One
Richmond Hill, Ontario
L4B 2N3",Quebec,No,Ceased Reporting,TSX,,KPMG,N/A,N/A,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"C/O Pushor Mitchell LLP
301 - 1665 Ellis Street
Kelowna, British Columbia
V1Y 2B3",Ontario,No,"British Columbia, Alberta, Ontario",TSX Venture,CTWO,MNP LLP,,TSX Trust Company,"Under $5,000,000"
,,,,,,,,,,,,,Alberta,No,"British Columbia, Alberta, Manitoba, Ontario, Quebec",N/A,,PricewaterhouseCoopers LLP,,Computershare Trust Company of Canada,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"405 Britannia Road East
Suite 106
Mississauga, Ontario
L4Z 3E6",Ontario,No,Not Applicable,N/A,,BDO Dunwoody LLP,,,"Under $5,000,000"
,,,,,,,,,,,,"1660 Tech Avenue, Unit 5
Mississauga, Ontario
L4W 5S7",Ontario,No,"British Columbia, Alberta, Ontario",TSX Venture,COV,PricewaterhouseCoopers LLP,,TSX Trust Company,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"1533-302 Barrington Street
Halifax, Nova Scotia
B3J1Z4",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,Not Applicable,,,"Under $5,000,000"
,,,,,,,,,,,,"600 - 11012 Macleod Trail SE
Calgary, Alberta
T2J 6A5",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,"Czechowsky, Graham & Hanevelt Chartered Accountants",N/A,,"Under $5,000,000"
,,,,,,,,,,,,,Ontario,No,Ceased Reporting,N/A,,Ernst & Young LLP,,Equity Transfer & Trust Company,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"Suite 601
One University Avenue
Toronto, Ontario
M5J 2P1",,No,Ontario,N/A,,"BDO Dunwoody, Chartered Accountants",,The Trust Company of Bank of Montreal,"$5,000,001 to $25,000,000"
,,,,,,,,,,,Jun 30,"Suite 9, 5 Centro Avenue
P.O. Box 457, West Perth WA 6872
Subiaco, WA
6008",Ontario,Yes,Ceased Reporting,Australia,,Ernst & Young LLP,,Computershare - Australia,"Under $5,000,000"
,,,,,,,,,,,Sep 30,"810 - 789 West Pender Street
Vancouver, BC
V6C 1H2",British Columbia,No,"British Columbia, Alberta, Manitoba, Ontario","Frankfurt, Canada - CSE",COVE,"Dale Matheson Carr-Hilton LaBonte, LLP",,Endeavor Trust Corporation,"Under $5,000,000"
,,,,,,,,,,,,,No filing is or has previously been made under the MRRS Prospectus Policy,No,Ontario,N/A,,"Ernst & Young LLP, Chartered Accountants",,CI Mutual Funds Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"c/o Covington Capital Corporation
200 Front Street
Suite 3003
Toronto, Ontario
M5V 3K2",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ontario,N/A,,"Ernst & Young LLP, Chartered Accountants",,CI Mutual Funds Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"Suite 700, 1816 Crowchild Trail NW
Calgary, Alberta
T2M 3Y7",Non-Reporting Issuer,No,Non-Reporting Issuer,N/A,,ND LLP,Cowpool Management #1 Inc.,Cowpool Management #1 Inc.,"Under $5,000,000"
,,,,,,,,,,,,"1 First Canadian Place
100 King Street West, 3rd Floor
Toronto, Ontario
M5X 1H3",Ontario,Yes,Ceased Reporting,TSX,,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"1 First Canadian Place
100 King Street West, 3rd Floor Podium
Toronto, Ontario
M5X 1H3",Ontario,Yes,Ceased Reporting,TSX,,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,"1147 Homer Street
Vancouver, B.C.
V6B 5T5",No filing is or has previously been made under the MRRS Prospectus Policy,No,"British Columbia, Alberta, Ontario",TSX Venture,CPK,Deloitte & Touche,,Pacific Corporate Trust Company,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,"Suite 600 - 1040 West Georgia Street
Vancouver, BC
V6E 4H1",British Columbia,No,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",N/A,,"Ernst & Young, LLP",,,"Under $5,000,000"
,,,,,,,,,,,Dec 31,"2000 Kipling Avenue
Toronto, Ontario
M9W 4J6",Ontario,No,Ceased Reporting,N/A,,KPMG LLP,,CIBC World Markets Inc.,"$500,000,001 to $1,000,000,000"
,,,,,,,,,,,,"c/o BNY Trust Company of Canada
4 King Street West
Suite 1101
Toronto, Ontario
M5H 1B6",Ontario,No,Not Applicable,N/A,HCH,Not Applicable,,BNY Trust Company of Canada,"Under $5,000,000"
,,,,,,,,,,,,"10368 West Centennial Road
Littleton, CO
80127",British Columbia,No,All provinces and territories of Canada,NASDAQ,PMTS,KPMG LLP,,EQ Shareowner Services,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,"12175 - 40 Street SE
Calgary, Alberta
T2Z 4E6",Alberta,No,"British Columbia, Alberta, Saskatchewan",TSX Venture,CWN,Hudson LLP Chartered Accountants,,Olympia Trust Company,"$5,000,001 to $25,000,000"
,,,,,,,,,,,Dec 31,"c/o Shelter Canadian Properties Limited
2600 Seven Evergreen Place
Winnipeg, Manitoba
R3L 2T3",Manitoba,No,Ceased Reporting,N/A,,Meyers Norris Penny LLP,,CIBC Mellon Trust Company,"Under $5,000,000"
,,,,,,,,,,,,"151 Courtney Park Drive West
Mississauga, Ontario
L5W 1Y5",Ontario,No,"Alberta, Ontario, Quebec, Nova Scotia",TSX Venture,CPI,KPMG,,Computershare Trust Company of Canada,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,"$500,000,001 to $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Suite 1450
70 University Avenue
Toronto, Ontario
M5J 2M4",Ontario,No,Ceased Reporting,N/A,,KPMG LLP,Creststreet 2002 Management Limited,Creststreet 2002 Management Limited,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Creststreet 2005 General Partner Limited,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Computershare Investor Services Inc.,"$25,000,001 to $100,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
